Name, Price, Change, Percentage Change, Transactions Number, Volume, Opening, Max, Min, Time
ADIUVO,2.8500,0.1600,5.95%,23,27788,2.6800,2.8500,2.6500,02.02 16:39
AGORA,7.8200,0.4400,5.96%,293,908235,7.4800,8.0000,7.4800,02.02 16:31
AGROTON,6.0600,0.3400,5.94%,39,351726,5.7400,6.1600,5.7000,02.02 16:37
AIGAMES,3.6600,-0.0100,-0.27%,13,11154,3.6250,3.7550,3.6200,02.02 15:50
AIRWAY,0.7900,0.0700,9.72%,372,458015,0.7360,0.8640,0.7210,02.02 16:38
ALTA,2.6000,0.1800,7.44%,15,26973,2.4400,2.6000,2.4400,02.02 16:40
ALTUS,1.4950,-0.0050,-0.33%,4,9722,1.4550,1.4950,1.4500,02.02 12:23
AMPLI,0.9950,-0.1750,-14.96%,20,16839,0.7600,0.9950,0.7600,02.02 15:08
APSENERGY,3.1300,0.0500,1.62%,7,646,3.1000,3.1300,3.0900,02.02 09:01
ARCTIC,9.3100,0.0600,0.65%,214,708285,9.3000,9.4700,9.1100,02.02 16:41
ARTERIA,7.1000,0.0500,0.71%,5,13685,7.0500,7.1000,6.7000,02.02 15:05
ASMGROUP,0.4500,0.0180,4.17%,1,0,0.4500,0.4500,0.4500,04.10 13:07
ATENDE,4.5000,0.1200,2.74%,29,35404,4.4000,4.5300,4.4000,02.02 16:25
ATLANTAPL,9.9800,0.0200,0.20%,6,3609,9.9800,9.9800,9.9600,02.02 13:38
ATLANTIS,1.4500,-0.7100,-32.87%,1185,2530331,1.9600,2.1000,1.4400,20.01 16:49
ATLASEST,2.8000,-0.0600,-2.10%,6,3583,2.6200,2.8000,2.6000,01.02 16:44
ATMGRUPA,4.3900,0.0800,1.86%,39,28542,4.2100,4.3900,4.2100,02.02 16:41
ATREM,2.3400,0.0400,1.74%,5,59,2.3400,2.3400,2.2300,02.02 16:00
AUGA,2.4200,0.0200,0.83%,4,2971,2.4000,2.4200,2.4000,21.09 13:51
AWBUD,0.9500,0.0000,0.00%,1,19,0.9500,0.9500,0.9500,09.09 11:00
BAHOLDING,0.5760,-0.0020,-0.35%,81,48697,0.5740,0.5790,0.5630,02.02 16:34
BBIDEV,7.0600,0.0600,0.86%,30,69884,7.0400,7.0600,6.8600,02.02 15:59
BEDZIN,7.0000,0.0000,0.00%,5,35,7.0000,7.0000,7.0000,02.02 14:19
BERLING,4.8000,0.0000,0.00%,1,490,4.8000,4.8000,4.8000,31.01 11:00
BETACOM,8.4500,0.3500,4.32%,11,75960,8.1000,8.4500,8.0000,02.02 13:49
BIOMEDLUB,4.4000,0.0700,1.62%,759,1890618,4.3500,4.5800,4.3300,02.02 16:38
BIOTON,4.0900,0.0300,0.74%,32,30585,4.1000,4.1350,4.0650,02.02 16:35
BORYSZEW,3.5050,-0.0450,-1.27%,19,29206,3.4900,3.5150,3.4900,02.02 13:13
BOS,9.3000,0.3400,3.79%,113,312048,9.0000,9.4800,8.9000,02.02 16:35
BOWIM,9.8800,0.0200,0.20%,159,311400,9.9200,9.9800,9.8600,02.02 16:37
BRASTER,0.8000,-0.0200,-2.44%,54,134887,0.8160,0.8190,0.7900,02.02 16:23
CAPITAL,2.0000,0.0500,2.56%,3,3396,2.0000,2.0000,2.0000,02.02 15:27
CCENERGY,0.9400,-0.0200,-2.08%,23,11709,0.9600,0.9600,0.9000,02.02 15:51
CELTIC,7.0500,0.0500,0.71%,19,25463,6.9500,7.1500,6.9500,02.02 16:30
CFI,0.3090,0.0190,6.55%,25,32275,0.2700,0.3100,0.2700,02.02 16:13
CIGAMES,1.7380,-0.0120,-0.69%,201,583284,1.7590,1.7650,1.7260,02.02 16:37
COALENERG,2.2000,0.0600,2.80%,555,1394583,2.1200,2.3600,2.1200,02.02 16:39
COGNOR,4.4700,0.0300,0.68%,631,2499721,4.4400,4.4900,4.3300,02.02 16:42
COMPERIA,5.7500,0.1000,1.77%,5,11280,5.6000,5.7500,5.5500,02.02 16:10
COMPREMUM,3.7300,-0.0600,-1.58%,46,103160,3.8000,3.8100,3.7000,02.02 16:42
CORMAY,1.1820,0.0090,0.77%,54,52402,1.1550,1.1840,1.1500,02.02 16:24
CPGROUP,8.5000,-0.4200,-4.71%,7,3252,8.3600,8.5000,8.3200,02.02 15:08
CZTOREBKA,0.5000,0.0000,0.00%,5,13,0.5000,0.5000,0.5000,02.02 11:30
DEVELIA,3.4300,0.0400,1.18%,71,416758,3.3900,3.4450,3.3900,02.02 16:38
DGA,9.2000,-0.3500,-3.66%,13,11751,9.5000,9.5000,8.9500,02.02 15:07
DIGITREE,8.1500,0.3000,3.82%,2,11857,7.8500,8.1500,7.8500,01.02 11:58
DROP,0.1900,0.0070,3.83%,6,3901,0.2000,0.2000,0.1900,06.11 15:22
DROZAPOL,6.2000,-0.1000,-1.59%,16,35987,6.3000,6.3000,6.1000,02.02 16:25
ECHO,4.0550,0.0150,0.37%,16,29015,4.0400,4.0550,4.0200,02.02 15:43
EDINVEST,3.7000,0.0400,1.09%,4,2774,3.7200,3.7200,3.6600,02.02 12:01
EFEKT,6.9400,0.1000,1.46%,3,1388,6.9400,6.9400,6.9400,02.02 11:00
EKOEXPORT,2.2550,-0.0350,-1.53%,4,1423,2.2900,2.2900,2.2550,02.02 12:13
ELBUDOWA,0.4350,-0.0850,-16.35%,768,544789,0.5200,0.5200,0.3700,08.04 17:02
ELEKTROTI,5.6200,0.1000,1.81%,27,52862,5.5200,5.7200,5.5200,02.02 16:07
ELEMENTAL,2.4200,0.0000,0.00%,17,72954,2.4200,2.4200,2.4100,17.12 17:00
ELKOP,0.4260,-0.0120,-2.74%,43,26552,0.4200,0.4410,0.4200,02.02 16:41
ELZAB,3.7000,-0.0500,-1.33%,2,600,3.7900,3.7900,3.7000,02.02 15:30
ENAP,1.9000,0.0800,4.40%,2,4,1.7700,1.9000,1.7700,02.02 10:07
ENEA,7.7700,0.0900,1.17%,1158,3868501,7.7800,7.8300,7.6350,02.02 16:40
ENERGA,7.3000,-0.0300,-0.41%,81,259708,7.3900,7.3900,7.2700,02.02 16:22
ENERGOINS,1.1750,0.0350,3.07%,4,623,1.1800,1.1800,1.1400,02.02 13:35
EUCO,3.5000,-0.1100,-3.05%,15,9062,3.6000,3.7000,3.5000,02.02 16:13
FAMUR,2.7700,0.0200,0.73%,627,1672697,2.7800,2.8700,2.7300,02.02 16:38
FASTFIN,0.7400,-0.0400,-5.13%,1,74,0.7400,0.7400,0.7400,02.02 11:00
FEERUM,8.9600,-0.0400,-0.44%,5,45,8.9600,8.9600,8.9600,02.02 14:13
FERRUM,4.0000,-0.1800,-4.31%,7,8207,3.9800,4.1500,3.9800,02.02 14:13
FON,0.2570,-0.0020,-0.77%,19,6721,0.2460,0.2580,0.2450,02.02 16:02
GAMEOPS,9.3600,-0.0400,-0.43%,26,16836,9.4000,9.4000,8.9100,02.02 16:22
GAMFACTOR,8.2900,0.0900,1.10%,17,7744,8.2000,8.3700,8.0000,02.02 13:50
GETIN,1.2460,0.0280,2.30%,42,100594,1.2160,1.2460,1.2120,02.02 16:37
GETINOBLE,0.3625,0.0215,6.30%,668,1557574,0.3425,0.3675,0.3310,02.02 16:40
GIGROUP,1.4420,-0.0060,-0.41%,24,125061,1.4460,1.4500,1.4380,02.02 16:18
GLCOSMED,3.8200,0.0900,2.41%,50,84610,3.7300,3.8600,3.7000,02.02 15:46
